Notification Title,Body Description
Rise & Check In ☀️,Good morning! Take a moment to notice your zone. How are you feeling as you start your day?
Morning ZER Moment,"Before the day begins, pause and check in — what zone are you waking up in today?"
Start Strong 💪,Your morning check-in is here! Identifying your zone now helps set the tone for a great day.
How's Your Zone?,Sunrise reminder: take 30 seconds to check in with your Zone of Emotional Regulation. You've got this!
Wake Up & Tune In,Good morning! Your emotions are a compass — check your ZER and navigate your day with intention.
Morning Mood Check 🌅,Rise and reflect! A quick ZER check-in helps you understand where you're starting from today.
Begin With Awareness,Check in with yourself before checking your phone. Which zone are you in this morning?
Your Daily ZER Kickoff,Morning! A 10-second ZER check-in is all it takes to build powerful self-awareness habits.
Zone Check: Morning Edition,How are you feeling right now? Log your morning zone and start the day grounded and ready.
"Good Morning, Check In! ✨",The best mornings start with self-awareness. Open the app and complete your ZER check-in now.
